word,frequency,f1,accuracy
DÖVLƏT,62973,0.6430371771,0.6811594203
GÜN,41874,0.5115359262,0.5128205128
QEYD,40200,0.7407781323,0.7536231884
DAVAM,23983,0.5343105861,0.5797101449
QAZ,8760,0.6720889555,0.6811594203
MƏSƏLƏ,8027,0.6645502646,0.6666666667
MADDƏ,5710,0.5578149387,0.5733333333
DAĞ,5423,0.6914044859,0.6951219512
ÇAY,4709,0.6559415563,0.6710526316
BAZAR,4585,0.6151517802,0.6142857143
DÖVR,3928,0.6403272487,0.6493506494
ƏSƏR,3729,0.6221760222,0.6216216216
GÖRÜŞ,3444,0.5206659013,0.552238806
MAL,2850,0.6369895165,0.6375
TON,2784,0.6475947934,0.6578947368
FORMA,2324,0.6095238095,0.6097560976
QOL,2128,0.68975892,0.6911764706
ATƏŞ,2052,0.5336923077,0.5692307692
TOP,1904,0.5412682504,0.552238806
TAXTA,1875,0.5228247163,0.5409836066
BAL,1731,0.5217391304,0.5217391304
BORC,1717,0.6703296703,0.7
BAĞ,1642,0.6420634921,0.6507936508
QOYUN,1523,0.6478943207,0.6515151515
PAY,1412,0.5420432095,0.5441176471
ŞƏKƏR,1351,0.5137950994,0.5138888889
ŞAM,1351,0.5047912977,0.5074626866
PARÇA,1280,0.604519774,0.6142857143
XAL,1195,0.7384716733,0.7391304348
GÜNLÜK,1101,0.5836871838,0.6031746032
MAYA,1078,0.5098134152,0.5125
KÜTLƏ,1038,0.6985185185,0.7066666667
ŞƏR,942,0.6923076923,0.6923076923
QURD,923,0.6,0.6
BEL,819,0.6439984102,0.6486486486
BÖLMƏ,726,0.7106972428,0.71875
OCAQ,702,0.5866666667,0.5866666667
OBYEKT,673,0.5397129187,0.5394736842
AKT,637,0.5263157895,0.5263157895
DAVA,637,0.5175364759,0.5308641975
BULUD,583,0.7243956044,0.7285714286
MAT,531,0.791226321,0.7966101695
XƏRÇƏNG,514,0.5544940134,0.552238806
PARA,466,0.5096481445,0.527027027
QAYNAQ,451,0.6401534527,0.65
ŞTAT,395,0.5522853958,0.5692307692
BAS,363,0.6303445707,0.64
TUŞ,360,0.5476495726,0.546875
ŞAN,341,0.7542908762,0.7647058824
KÜRƏ,338,0.5474544312,0.55
BOĞAZ,328,0.573806161,0.5735294118
APARAT,323,0.4835927041,0.515625
ÇANAQ,270,0.5826324165,0.6029411765
AVAR,266,0.5660899654,0.5147058824
BAN,251,0.6903113738,0.7101449275
VURĞU,249,0.6032751533,0.6056338028
DÜYÜN,237,0.6366525424,0.640625
QAŞ,236,0.661971831,0.661971831
ƏQRƏB,198,0.5252400166,0.5283018868
KÜRƏK,129,0.6365495288,0.6769230769
AVERAGES,,0.6076400224,0.6162481146