word,translation,frequency,PoS-1,PoS-2,example in azerbaijani,example in english
DÖVLƏT,State (1) / Wealth (0),62973,Noun,Noun,Dövlət başçıları görüşdü (1) / Var-dövlət qazanılmalıdır.,Heads of governments met (1) / Wealth must be earned (0)
GÜN,Day (1) / Sun (0),41874,Noun,Noun,Gün keçdi (1) / Gün çox isti idi (0),Days is gone (1) / The sun was too hot (0)
QEYD,Note (1) / Care (0),40200,Noun,Noun,Bunu qeyd et (1) / Onun qeydinə qal (0),Take a note of this (1) / Take care of him (0)
DAVAM,Continuation (1) / Resistance (0),23983,Noun,Noun,Təhsilinə davam et (1) / Gücə davam gətirmir (0),Continue your education (1) / It cannot resist the force (0)
QAZ,Gas (1) / Geese (0),8760,Noun,Noun,Qaz kəsildi (1) / Yeməyə qaz var idi (0),Gas was cut off (1) / There was geese for food (0)
MƏSƏLƏ,Issue (1) / Math Exercise (0),8027,Noun,Noun,Bu məsələni bizə bildir (1) / Bu məsələ çox asandır (0),Inform us about this issue (1) / This exercise is very easy (0)
MADDƏ,Constitution principle (1) / Substance (0),5710,Noun,Noun,Bu 321-ci maddədə yazılıb (1) / Bu maddə təhlükəlidir (0),This is written in the 321st principle (1) / This substance is dangerous (0)
DAĞ,Mountain (1) / Grief (0),5423,Noun,Noun,Dağa çıxmaq istəyirəm (1) / Ürəyimə dağ çəkdi (0),I want to climg the mountain (1) / He cause me a grief (0)
ÇAY,River (1) / Tea (0),4709,Noun,Noun,Çayda üzürəm (1) / Çay içirəm (0),I am swimming in the river (1) / I am drinking tea (0)
BAZAR,Market (1) / Sunday (0),4585,Noun,Noun,Bazar meyvəsi dadlı olur (1) / Bazar günü istirahət edirəm (0),Fruit from market is delicious (1) / I am resting on Sunday (0)
DÖVR,Time period (1) / Cycle (0),3928,Noun,Noun,O dövr getdi (1) / Bir dövr başa vur (0),That period is gone (1) / Finish a cycle (0)
ƏSƏR,Art/Literature Work (1) / Trace (0),3729,Noun,Noun,Bu əsər məşhurdur (1) / Heç bir əsər yoxdur (0),This artwork is famous (1) / There is no trace (0)
GÖRÜŞ,Meeting (1) / Opinion (0),3444,Noun,Noun,Görüş olmayacaq (1) / Sənin görüşün səhvdir (0),There will be no meeting (1) / Your opinion is wrong (0)
MAL,Cattle (1) / Commodity (0),2850,Noun,Noun,Mal-qara artdı (1) / Mallar anbardadır (0),Cattle became more (1) / Commodities are in the storage (0)
TON,Ton (1) / Tone (0),2784,Noun,Noun,Maşın 2 tondur (1) / Səs tonuna fikir ver (0),The car is 2 tons (1) / Mind your voice tone (0)
FORMA,Shape (1) / Uniform (0),2324,Noun,Noun,Su qabın formasını alır (1) / Forma ona yaraşır (0),Water takes cups shape (1) / The uniform suits her (0)
QOL,Goal (1) / Arm (0),2128,Noun,Noun,Qol vurdum (1) / Qolum keyidi (0),I scored a goal (1) / My arm became numb (0)
ATƏŞ,Gunfire (1) / Fire Pit (0),2052,Noun,Noun,Atəş açdı (1) / Atəş qalandı (0),He fired a shot (1) / He made a bonfire (0)
TOP,Gun (1) / Ball (0),1904,Noun,Noun,Top atıldı (1) / Top oynayıram (0),Shots were fired (1) / I am playing with ball (0)
TAXTA,Wood (1) / Blackboard (0),1875,Noun,Noun,Taxta yandı (1) / Taxtada izah edirəm (0),Wood was burnt (1) / I am explaining on the board (0)
BAL,Honey (1) / Point (0),1731,Noun,Noun,Bal dadlıdır (1) / Aşağı bal yığdı (0),Honey is delicious (1) / He got a low score (0)
BORC,Debt (1) / Duty (0),1717,Noun,Noun,Borc çoxdur (1) / Mənim ali borcumdur (0),Debt is too much (1) / This is my holy duty (0)
BAĞ,Garden (1) / Tie (0),1642,Noun,Noun,Bağ gözəldir (1) / Bağ qopdu (0),Garden is beautiful (1) / Ties were torn (0)
QOYUN,Sheep (1) / Lap (0),1523,Noun,Noun,Qoyun nahar üçün hazırlanırdı (1) / Onun qoynu isti idi (0),Sheep was being prepared for lunch (1) / Her lap was warm (0)
PAY,Gift (1) / Share (0),1412,Noun,Noun,Ona pay verdim (1) / Bu onun payıdır (0),I gave him a gift (1) / This is his share (0)
ŞƏKƏR,Sugar (1) / Diabetes (0),1351,Noun,Noun,Şəkər çoxdur (1) / Şəkər xəstəsiyəm (0),Sugar is too much (1) / I am diabetes (0)
ŞAM,Pine (1) / Candle (0),1351,Noun,Noun,Şam kəsildi (1) / Şam üfürdüm (0),Pine was cut off (1) / I blew off a candle (0)
PARÇA,Bit (1) / Fabric (0),1280,Noun,Noun,Bir parça bəsdir (1) / Bu parça keyfiyyətlidir (0),A bit is enough (1) / This fabric is of a high quality (0)
XAL,Score (1) / Freckles (0),1195,Noun,Noun,Beş xal topladım (1) / Üzümdə xal var (0),I got 5 points (1) / I have freckles on my face (0)
GÜNLÜK,Daily (1) / Hat (0),1101,Noun,Noun,"Günlük sifariş edirlər (1) / Şlyapanın günlüyü yağışlı havada üzünüzü həm su damlalarından, həm də günəş şüalarından qorumaq məqsədilə dizayn edilib (0)",They order daily(1) / The the hat is designed to protect your face from both water drops and sun rays in rainy weather (0)
MAYA,Capital (1) /  Yeast (0),1078,Noun,Noun,Başqa sözlə maya  dəyəri göstəricisi ilə məhsul istеhsalına sərf оlunmuş məsrəflərin məbləği müəyyən оlunur (1) / Maya hazırlanmasının digər üsulu maya otundan istifadədir (0),"In other words, the amount of costs spent on product production is determined by the yeast cost indicator (1) / Another method of yeast preparation is the use of yeast grass (0)"
KÜTLƏ,Large piece (1) / Mass (0),1038,Noun,Noun,"Peyin yavaş-ya vaş ayaq altında tapdalanır, qatı kütlə şəklinə çevrilir, tədricən quruyur və bərkiyirdi (1) / Bu da onu göstərir ki, kinoteatrda fərdiyyət yox, kütlə vacib hesab edilir (0)","The dung was slowly trampled underfoot, turned into a solid piece, gradually dried and hardened (1) / This shows that the mass, not the individual, is considered important in the cinema (0)."
ŞƏR,Evil (1) / Night (0),942,Noun,Noun,"futbolçunun iddiasına görə, ona şər atılır (1) / Onlar şər qarışan kimi tonqal yandıracaqdılar (0)","according to the footballer's claim, evil is being thrown at him (1) / They were going to light a bonfire as soon as night appears (0)"
QURD,Wolf (1) /  Worm (0),923,Noun,Noun,"Qurd tutduğu uşaqları bir kənara aparır (1) / Bu qurd qaraciyər kanallarında, öd kisəsində və mədəaltı vəzidə parazitlik edir (0)","The wolf takes away the children it catches (1) / This worm parasitizes the liver ducts, gall bladder and pancreas (0)"
BEL,Waist (1) / Shovel (0),819,Noun,Noun,"Beli qonur, qarın tərəfi isə kürəndir (1) / Dəfnindən iki gün sonra maşına oturdum, balaca bel də götürüb bir dağ kəndinə yollandım (0)","His back is tanned, and his belly is red (1) / Two days after his burial, I sat in the car, took a small waist and went to a mountain village (0)"
BÖLMƏ,Section (1) / Division (0),726,Noun,Noun,"Bu bölmə I Avropa oyunlarının rəsmi açılışını ifadə etdi (1) / Bölmə əməliyyatı ilə cavabı tapdıq, bu da məsələnin dəqiq həllini əldə etməyə kömək etdi. (0)","This section marked the official opening of the I European games (1) / We found the answer by division operation, which helped us to get the exact solution of the problem. (0)"
OCAQ,Hearth (1) / Home (0),702,Noun,Noun,"Nəhayət, ocaq yenidən alışdı (1) / Quyuya təkcə xristianlar deyil, həm də müsəlmanlar və yəhudilər saf ocaq yeri kimi baxırlar (0)","Finally, the hearth was rekindled (1) / The well is seen not only by Christians, but also by Muslims and Jews as a place of pure home(0)"
OBYEKT,Property (1) / Object (0),673,Noun,Noun,"kompensasiyası ödənilməli və sökülməli olan təqribən 250 obyekt qalır (1) / Monqolca Dom sözü cadu, Yum isə obyekt deməkdir (0)",approximately 250 properties remain to be compensated and demolished (1) / Mongolian word Dom means witch and Yum means object (0)
AKT,Deed (1) / Event place (0),637,Noun,Noun,"Biz isə, yalançı akt tərtib edərək texnikanı satırdıq (1) / Məktəbin 6 yerlik akt zalında müxtəlif tədbirlər keçirmək mümkündür (0)",And we were selling the equipment by drawing up a false deed (1) / It is possible to hold various events in the 6-seat assembly hall of the school (0)
DAVA,"Fight (1) / Medicine, Cure (0)",637,Noun,Noun,Dava başladı (1) / Ulu babalarımız balın min bir dərdə dava olduğunu demişlər (0),A fight started (1) / Our great-grandfathers said that honey is a cure in a thousand and one troubles (0)
BULUD,Cloud (1) / Wide plate (0),583,Noun,Noun,"Bəzən bulud enir bəndə, bərəyə (1) / Anam buludda tort hazırlamışdı və tortun üzəri çox gözəl bəzədilmişdi, içində isə müxtəlif meyvələr vardı. (0)","Sometimes the cloud descends on the dam, the ferry (1) / My mother made a cake in big plate and the top of the cake was very beautifully decorated, and there were various fruits inside. (0)"
MAT,Shocked (1) / Checkmate (0),531,Noun,Noun,Şota mat qalmışdı (1) / Şahmatda səni mat etdikləri zaman gediş etmək qədər çətin idi. (0),Shota was shocked(1) / It was as difficult as walking in chess when they checkmate you. (0)
XƏRÇƏNG,Disease (1) / Cancer (0),514,Noun,Noun,"Müğənninin fotosunu paylaşdığı xanım bir müddət əvvəl xərçəng xəstəliyindən dünyasını dəyişib (1) / Xərçəng bürcü altında doğulan əsəbi, xəyalpərəst və hissiyyatlı adamları zümrüd pis yuxulardan qoruyur (0)","The lady whose photo the singer shared died of cancer some time ago (1) / Emerald protects nervous, dreamy and emotional people born under the sign of Cancer from bad dreams (0)"
PARA,Piece (1) / Money (0),466,Noun,Noun,Amma bir para dili dinc durmayanlar başqa şeylər söyləyirdilər (1) / Hərçənd hər ayda onlara para göndərirəm (0),But those who didn't keep quiet about piece said other things (1) / Although I send them money every month (0)
QAYNAQ,Welding (1) / Source (0),451,Noun,Noun,Poladdan dəmirin əldə edilməsinin ən bəsit və qədim üsulu xalis qaynaq olmuşdur (1) / Cənubi Qafqazdakı vəziyyətlə bağlı ən qədim yazılı qaynaq Herodotun “Tarix” əsəridir (0),"The simplest and oldest method of obtaining iron from steel was pure welding (1) / The oldest written source about the situation in the South Caucasus is Herodotus' ""History"" (0)"
ŞTAT,State (1) / Staff (0),395,Noun,Noun,"Müasir dövrdə Hindistanda 8 ştat və 7 ərazi (6 ittifaq ərazisi, 1 paytaxt dairəsi) mövcuddur (1) / Lakin şöbənin ştat heyəti kiçik olduğundan səmərəli iş apara bilmirdi (0)","In modern times, there are 8 states and 7 territories (6 union territories, 1 capital district) in India (1) / However, the staff of the department was not able to work effectively due to its small staff (0)"
BAS,Press (1) / Bass (0),363,Noun,Noun,"Dördüncü düyməni bas, vəssalam (1) / Bu illərdə Palata 6 adlı qrupda bas-gitarist kimi fəaliyyət gostərmişdir (0)","Press the fourth button, and that's it (1) / During these years, he worked as a bass guitarist in the band Palata 6 (0)"
TUŞ,Faced (1) / Mascara (0),360,Noun,Noun,Bu siyasətlə razılaşmayanların hamısı amansız repressiyalara tuş gəldilər (1) /  Kipriklərdə tuşdan istifadə etməmək məsləhətdir. (0),All those who did not agree with this policy faced brutal repressions (1) / It is advisable not to use mascara on eyelashes. (0)
ŞAN,Glory (1) / Beehive (0),341,Noun,Noun,"Tusinin şan-şöhrətinin Avropada yayılmasına şübhə etməmək olar (1) / Tor hörümçəyin, şan arının kəşfidir. (0)",There can be no doubt that Tusi's fame spread in Europe (1) / Web is the discovery of the spider and beehive is the discovery of bee. (0)
KÜRƏ,Sphere (1) / Earth (0),338,Noun,Noun,Kürə və kubikdən müxtəlif fiqurlar düzəltmək olar (1) / Təyyarəçi Yuri Qaqarin Yer kürəsi ətrafında dövr edən ilk insan olub (0),Different figures can be made from spheres and cubes (1) / Pilot Yuri Gagarin was the first person to orbit the Earth (0)
BOĞAZ,Throat (1) / Bosphorus (0),328,Noun,Noun,"Boğaz nahiyəsində 23-27 pulcuq vardır (1) / Boğaz Britaniya Hindistanının Madros vilayyətinin rəhbəri, dövlət adamı Robert Polkun şərəfinə adlandırılıb (0)","There are 23-27 scales in the throat (1) / The Bosphorus was named after statesman Robert Polk, head of the Madros province of British India (0)"
APARAT,Device (1) / Government staff (0),323,Noun,Noun,Aparat ağ alovda itdi (1) / 2006-2015-ci illərdə Azərbaycan Respublikası Gənclər və İdman Nazirliyinin aparat rəhbəri vəzifəsində çalışıb (0),"The device disappeared in a white flame (1) / In 2006-2015, he worked as the chief of staff of the Ministry of Youth and Sports of the Republic of Azerbaijan (0)"
ÇANAQ,Pelvis (1) / Musical instrument part (0),270,Noun,Noun,"Bud sümüyü sümüklə birləşib: çanaq, qamış, diz qapağı (1) / Çanağın metal səsi musiqiyə rəng qatırdı və bu, dinləyiciləri dərindən təsirləndirir, musiqini daha maraqlı edir. (0)","The thigh bone is connected to the bone: pelvis, reed, kneecap (1) / The metal sound of the pelvis added color to the music, which deeply affects the listeners and makes the music more interesting. (0)"
AVAR,Paddle (1) / Folk name (0),266,Noun,Noun,"məsələn, velosiped sürmək, avar çəkmək, boks oynamaq olmaz (1) / O, Avar və Dağıstan valisi Ümmə xan Nüsal xan oğlunun möhtərəm bacısını alaraq onunla qohum olmuşdu (0)","for example, you can't ride a bicycle, row, or play boxing (1) / He was related to Avar and the governor of Dagestan by marrying the respected sister of the governor of Dagestan, Umma Khan Nusal Khan (0)"
BAN,Chassis (1) / Rooster crow (0),251,Noun,Noun,"Araşdırmanın digər bir seqmenti olan avtomobillərin ban tipinə gəldikdə isə (1) / Xoruz banladı və həmin anın sakitliyi bir anda dağıldı, kənd həyatının səs-küylü bir günü başladı. (0)","As for the chassis type of cars, which is another segment of the research (1) / The rooster crowed and the calmness of that moment suddenly broke, a noisy day of village life began. (0)"
VURĞU,Emphasis (1) / Beat (0),249,Noun,Noun,"Bəzən nitqdə xəbəri də məntiqi vurğu altına salmaq olur (1) / Ahəng qanunu, heca və vurğu da fonetikanın mövzularına daxildir (0)","Sometimes the message in speech is also logically emphasized (1) / The law of harmony, syllables and stress are also included in the topics of phonetics (0)"
DÜYÜN,Knot (1) / Wedding (0),237,Noun,Noun,Çünki düyün nöqtəsinin harada olduğu açıq deyilmir (1) / Yeni gəlinin düyün üçün hazırladığı təmtəraqlı çiçək buketi çox gözəl idi. (0),Because it is not clear where the knot point is (1) / The sumptuous flower bouquet prepared by the new bride for the wedding was very beautiful. (0)
QAŞ,Eyebrow (1) / Precious stone (0),236,Noun,Noun,"Göz məndə, qaş məndə (1) / Şahın yollarına daş-qaş səpsinlər (0)","The eye is on me, the eyebrow is on me (1) / Let them sprinkle stones on the roads of the Shah (0)"
ƏQRƏB,Scorpion (1) / Hand of clock (0),198,Noun,Noun,"Xərçəng və Əqrəb bürcündən olanları düzgün istiqamətləndirir, öz işlərində uğur gətirir, onları xoşbəxt edir (1) / Cihazа 4,5 v gərginlik qоşduqdа əqrəb şkаlа üzrə ахırа qədər hərəkət еdir (0)","It guides those from Cancer and Scorpio correctly, brings success in their work, makes them happy (1) / When 4.5 V voltage is applied to the device, the arrow moves to the end of the scale (0)"
KÜRƏK,Back (1) / Paddle (0),129,Noun,Noun,"Buraya beyin, boyun və kürək daxildir. (1) / Adamlar dəstə-dəstə olub əllərində kürək, külüng uçuqları qazımağa başladılar (0)","It includes the brain, neck, and back (1) / People started to dig up the paddle and ashes in their hands in groups (0)"